Temp (C) ,CTE (10e-6 1/K)
287.95051,10.49037
305.93755,10.67223
331.04966,10.82918
356.21159,11.05589
384.94436,11.28176
415.39611,11.41422
438.73941,11.59483
471.05962,11.84313
501.5612,12.04534
526.6567,12.17904
558.97691,12.42734
587.64325,12.56021
612.78857,12.76366
643.27354,12.94262
673.69208,13.02857
698.8374,13.23202
731.04136,13.31756
763.27853,13.44959
779.48015,13.63187
809.9319,13.76432
833.20877,13.85193
863.64391,13.96114
888.73941,14.09483
917.38914,14.20445
945.98904,14.24431
974.58894,14.28417
1005.12373,14.53288
