Temperature (K),Thermal Conductivity (W/m-K)
408.53063,28.43709
425.13875,28.60962
452.43094,28.9557
472.5727,28.95217
495.11526,29.21137
518.85302,29.55809
544.91883,29.55351
569.78944,29.46143
588.78796,29.80898
613.71053,30.15548
636.22191,30.15153
659.9181,30.14737
681.25507,30.23135
703.75605,30.13968
725.07223,30.04822
747.58361,30.04427
772.44383,29.86447
793.74961,29.6853
817.4458,29.68114
838.74119,29.41425
862.4166,29.23465
887.2976,29.23029
909.78819,29.05091
933.47399,28.95903
958.31341,28.6038
981.99921,28.51192
