GumschSingleCrystal,,,Gumbsch_100,,,FaleschiniSintered W,,,FaleschiniSintered WL10,,,FaleschiniSintered WVM_1,,,,Rupp_type_I,,,Rupp_Type_II,,,Rupp_Type_III,,,Gaganidze_trans,,,Gaganidze_inter,
75.23,2.10,,72.14,3.30,,70.06,5.50,,69.58,5.03,,235.52,4.71,,,239.13,8.45,,239.19,8.08,,53.58,14.52,,295.67,14.17,,295.08,6.97
171.69,3.33,,294.46,8.59,,236.46,6.17,,235.03,4.27,,423.36,16.68,,,663.29,13.96,,431.06,10.17,,127.32,13.65,,372.08,15.43,,372.38,6.58
186.04,4.04,,350.80,9.80,,423.20,10.59,,423.58,12.81,,616.58,42.60,,,721.12,16.23,,588.67,13.51,,245.99,13.42,,473.22,18.45,,468.46,8.15
184.88,4.64,,376.03,12.49,,613.40,26.18,,616.11,32.78,,,,,,776.47,20.22,,666.48,14.59,,323.61,15.59,,471.33,15.06,,527.05,10.44
211.74,5.00,,422.88,14.18,,,,,,,,,,,,,,,752.34,13.49,,427.30,19.53,,294.78,15.29,,575.14,14.13
251.86,5.09,,419.41,15.46,,,,,,,,,,,,,,,830.43,19.41,,507.63,18.63,,572.51,20.36,,670.82,18.47
296.85,6.08,,469.54,27.15,,,,,,,,,,,,,,,808.82,17.27,,588.52,21.01,,568.34,17.30,,,
375.07,16.36,,581.70,25.01,,,,,,,,,,,,,,,,,,747.58,22.20,,671.32,20.87,,,
420.73,11.80,,,,,,,,,,,,,,,,,,,,,,,,675.86,18.96,,,
421.15,10.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497.40,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
