Target1,Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15
568,YS,Eurofer,18.9,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
479,YS,Eurofer,300,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
453,YS,Eurofer,400,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
404,YS,Eurofer,500,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
284,YS,Eurofer,600,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
133,YS,Eurofer,700,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
513,YS,Eurofer,18.9,bar,100,longitudinal,,,,1075,111,750,222 ,600,1000,polished
456,YS,Eurofer,300,bar,100,longitudinal,,,,1075,111,750,222 ,600,1000,polished
447,YS,Eurofer,400,bar,100,longitudinal,,,,1075,111,750,222 ,600,1000,polished
384,YS,Eurofer,500,bar,100,longitudinal,,,,1075,111,750,222 ,600,1000,polished
278,YS,Eurofer,600,bar,100,longitudinal,,,,1075,111,750,222 ,600,1000,polished
537,YS,Eurofer,18.9,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
469,YS,Eurofer,300,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
442,YS,Eurofer,400,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
392,YS,Eurofer,500,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
277,YS,Eurofer,600,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
519,YS,Eurofer,11.1,plate,14,longitudinal,,,,1075,27,750,90,600,1000,polished
460,YS,Eurofer,300,plate,14,longitudinal,,,,1075,27,750,90,600,1000,polished
434,YS,Eurofer,400,plate,14,longitudinal,,,,1075,27,750,90,600,1000,polished
391,YS,Eurofer,500,plate,14,longitudinal,,,,1075,27,750,90,600,1000,polished
284,YS,Eurofer,600,plate,14,longitudinal,,,,1075,27,750,90,600,1000,polished
17.9,YS,Eurofer,17.9,plate,14,longitudinal,,,,950,27,750,90,600,1000,polished
300,YS,Eurofer,300,plate,14,longitudinal,,,,950,27,750,90,600,1000,polished
400,YS,Eurofer,400,plate,14,longitudinal,,,,950,27,750,90,600,1000,polished
500,YS,Eurofer,500,plate,14,longitudinal,,,,950,27,750,90,600,1000,polished
600,YS,Eurofer,600,plate,14,longitudinal,,,,950,27,750,90,600,1000,polished
659.8430541,YS,Eurofer,21.03355594,plate,8,longitudinal,7,0,0,979,120,939,240,600,1000,polished
581.1258956,YS,Eurofer,199.9395625,plate,8,longitudinal,,,,979,120,939,240,600,1000,polished
507.3763104,YS,Eurofer,400.1208861,plate,8,longitudinal,,,,979,120,939,240,600,1000,polished
429.4233933,YS,Eurofer,550.4986733,plate,8,longitudinal,,,,979,120,939,240,600,1000,polished
663.2821533,YS,Eurofer,21.51707833,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
650.6721226,YS,Eurofer,24.90180146,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
516.1651255,YS,Eurofer,350.3173496,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
498.205379,YS,Eurofer,400.6044307,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
466.107119,YS,Eurofer,450.4080114,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
417.577604,YS,Eurofer,500.211548,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
395.7966419,YS,Eurofer,500.211548,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
367.1374812,YS,Eurofer,550.4986733,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
322.8113243,YS,Eurofer,600.3022098,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
314.0225092,YS,Eurofer,600.3022098,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
290.3309305,YS,Eurofer,600.3022098,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
275.0460331,YS,Eurofer,600.3022098,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
233.3947429,YS,Eurofer,650.5893351,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
171.8730546,YS,Eurofer,700.3928716,plate,14,longitudinal,,,,980,27,760,90,600,1000,polished
679.3312833,YS,Eurofer,22.00062286,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
672.4530848,YS,Eurofer,22.00062286,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
652.5827304,YS,Eurofer,27.31943554,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
648.7615148,YS,Eurofer,27.31943554,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
565.8409982,YS,Eurofer,199.9395625,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
574.6298133,YS,Eurofer,199.9395625,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
534.8891047,YS,Eurofer,300.0302243,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
554.7594678,YS,Eurofer,300.0302243,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
506.229944,YS,Eurofer,400.1208861,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
497.4411464,YS,Eurofer,400.1208861,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
434.008859,YS,Eurofer,500.211548,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
431.3339924,YS,Eurofer,500.211548,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
404.9675645,YS,Eurofer,550.4986733,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
398.4714998,YS,Eurofer,550.4986733,plate,25,longitudinal,,,,979,120,939,240,600,1000,polished
627.7447941,YS,Eurofer,24.90180146,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
592.9716762,YS,Eurofer,199.9395625,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
589.9146932,YS,Eurofer,199.9395625,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
519.9863411,YS,Eurofer,300.0302243,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
513.8723927,YS,Eurofer,400.1208861,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
487.5059648,YS,Eurofer,400.1208861,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
445.0903895,YS,Eurofer,500.211548,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
423.6915612,YS,Eurofer,500.211548,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
404.2033319,YS,Eurofer,500.211548,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
291.4773057,YS,Eurofer,600.3022098,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
282.6884906,YS,Eurofer,600.3022098,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
162.3199981,YS,Eurofer,699.9093714,bar,100,longitudinal,,,,979,111,739,222 ,600,1000,polished
514.2545177,YS,Eurofer,350.3173496,plate,14,transverse,,,,980,27,760,90,600,1000,polished
472.6032013,YS,Eurofer,449.9244669,plate,14,transverse,,,,980,27,760,90,600,1000,polished
404.5854657,YS,Eurofer,500.211548,plate,14,transverse,,,,980,27,760,90,600,1000,polished
